idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,global_chamfer_l2,global_chamfer_l1,global_hausdorff,global_hausdorff95,global_normal_consistency,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency
0,0.008072800934314728,0.03405807912349701,0.3206191107374519,0.24880455434322357,0.9111098647117615,0.0068360790610313416,0.029206112027168274,0.3195216953928977,0.2274473011493683,0.916312575340271,0.00594521826133132,0.025944989174604416,0.3208029295502471,0.21330462396144867,0.9284079670906067
1,0.000992717919871211,0.016133129596710205,0.1371755326249767,0.041474856436252594,0.9411261677742004,0.0008882309775799513,0.014583280310034752,0.1371796604427813,0.04469392076134682,0.9314061999320984,0.00046845071483403444,0.011095324531197548,0.12828921982126176,0.024840503931045532,0.973792552947998
2,0.003792126663029194,0.021466251462697983,0.25068065253725363,0.1570502370595932,0.9191475510597229,0.0033534581307321787,0.02048361673951149,0.2516986389698139,0.1423845887184143,0.9156988263130188,0.0015232434961944818,0.01448739692568779,0.2144530384918205,0.08928587287664413,0.9577378630638123
3,0.018327094614505768,0.03623148426413536,0.5742624486787059,0.3886761963367462,0.9552015662193298,0.015885835513472557,0.03242414444684982,0.5724682758320381,0.36267685890197754,0.9618913531303406,0.007014833390712738,0.01847272366285324,0.5626103769727231,0.18201683461666107,0.9789987802505493
4,0.004473069217056036,0.02385326474905014,0.33825972138368054,0.14760816097259521,0.9644913673400879,0.0035316050052642822,0.020962722599506378,0.3407590969603818,0.11765290051698685,0.9573842287063599,0.0017271077958866954,0.013225574046373367,0.324172970400779,0.05381082370877266,0.977813720703125
5,0.0035179518163204193,0.02425876259803772,0.2762645220715367,0.11018577963113785,0.9521047472953796,0.0028252648189663887,0.019743382930755615,0.2762645220715367,0.06496791541576385,0.9534972310066223,0.001800870057195425,0.016224510967731476,0.27034581150022524,0.02856617234647274,0.974077582359314
6,0.00417324947193265,0.023677224293351173,0.2774698749720928,0.16185906529426575,0.9356921911239624,0.003629263024777174,0.022077254951000214,0.2763797096677589,0.1417890191078186,0.9322834610939026,0.003687330288812518,0.021192152053117752,0.2769832013670685,0.14922809600830078,0.9426162838935852
7,0.007731739431619644,0.02577877789735794,0.43617490641315854,0.21696695685386658,0.9529931545257568,0.006041903048753738,0.023472554981708527,0.43500536454937777,0.1793871968984604,0.9438915848731995,0.003188920207321644,0.016934091225266457,0.391541131510458,0.11544769257307053,0.9680257439613342
8,0.003438807325437665,0.021729689091444016,0.301273500487458,0.15440325438976288,0.9520679712295532,0.002860364271327853,0.020863723009824753,0.2974432976965858,0.11694501340389252,0.9335677623748779,0.0015910733491182327,0.014708684757351875,0.2931080804752827,0.07273528724908829,0.9645623564720154
9,0.0022091297432780266,0.019308246672153473,0.19274712936698027,0.12403232604265213,0.9645283222198486,0.001762334955856204,0.017014119774103165,0.19064741159238172,0.11045239120721817,0.9653551578521729,0.0008875996572896838,0.012585011310875416,0.18543056054690268,0.05026999115943909,0.980287492275238
10,0.00394166074693203,0.026472054421901703,0.22963680012690615,0.1562645435333252,0.9419933557510376,0.003245904576033354,0.02233314700424671,0.22982543935911154,0.14222630858421326,0.9438432455062866,0.004374754149466753,0.026825569570064545,0.2199665031074478,0.14564962685108185,0.923467755317688
