idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,classical_geom_jacobian_valid,classical_geom_negative_jacobian,classical_geom_negative_fraction,classical_geom_degenerate,classical_geom_degenerate_fraction,classical_geom_minimum_signed_jacobian,classical_geom_minimum_area_scale,classical_geom_base_cap_fold_max,classical_geom_crown_cap_fold_max,classical_geom_cap_fold_max,classical_geom_cap_safe,classical_geom_safe,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,learned_geom_jacobian_valid,learned_geom_negative_jacobian,learned_geom_negative_fraction,learned_geom_degenerate,learned_geom_degenerate_fraction,learned_geom_minimum_signed_jacobian,learned_geom_minimum_area_scale,learned_geom_base_cap_fold_max,learned_geom_crown_cap_fold_max,learned_geom_cap_fold_max,learned_geom_cap_safe,learned_geom_safe
0,0.006541288457810879,0.024331044405698776,0.36834348156845526,0.2144324630498886,0.9187287092208862,True,0,0.0,0,0.0,0.0036198205780237913,0.0036198205780237913,0.0,0.0,0.0,True,True,0.005601145327091217,0.0217133816331625,0.3686008442660519,0.17626693844795227,0.9291784763336182,False,5,0.00015378937007874016,0,0.0,-0.008393612690269947,0.002358407014980912,0.0,0.0,0.0,True,False
1,0.002316697034984827,0.021234381943941116,0.20448741306098112,0.10426171123981476,0.9230784177780151,True,0,0.0,0,0.0,0.027714822441339493,0.027714820578694344,0.0,0.0,0.0,True,True,0.0014138976112008095,0.017135316506028175,0.1839579763729424,0.0514494813978672,0.9281983971595764,True,0,0.0,0,0.0,0.1667231023311615,0.1667286604642868,0.0,0.0,0.0,True,True
2,0.0057972208596765995,0.020227979868650436,0.5138866425227421,0.13653182983398438,0.9624952673912048,True,0,0.0,0,0.0,0.04039271920919418,0.04039271920919418,0.0,0.0,0.0,True,True,0.0031902126502245665,0.014614543877542019,0.5006564123083063,0.044167399406433105,0.9780795574188232,True,0,0.0,0,0.0,0.1925298124551773,0.20189598202705383,0.0,0.0005526881432160735,0.0005526881432160735,True,True
3,0.0019274683436378837,0.01864326372742653,0.20681081588672717,0.09416313469409943,0.8918624520301819,True,0,0.0,0,0.0,0.02494761161506176,0.02494761161506176,0.0,0.0,0.0,True,True,0.0011837315978482366,0.015217717736959457,0.20490373735514816,0.036203138530254364,0.9024744033813477,True,0,0.0,0,0.0,0.05407649651169777,0.054189443588256836,0.0,0.0,0.0,True,True
4,0.006313486024737358,0.022771935909986496,0.4942953598749277,0.18213586509227753,0.9312835931777954,True,0,0.0,0,0.0,0.02446022257208824,0.02446022257208824,0.0,0.0,0.0,True,True,0.0037257387302815914,0.017589766532182693,0.49463563935196275,0.08459293842315674,0.9585962891578674,True,0,0.0,0,0.0,0.022632310166954994,0.022632313892245293,0.0,0.00022244056162890047,0.00022244056162890047,True,True
5,0.0038855751045048237,0.02390262484550476,0.3449382186249029,0.13278986513614655,0.890914261341095,True,0,0.0,0,0.0,0.006853762082755566,0.006853762082755566,0.0,0.0,0.0,True,True,0.002484175143763423,0.019706521183252335,0.3442451638690277,0.06778393685817719,0.9055388569831848,False,128,0.003937007874015748,0,0.0,-0.01216687448322773,0.02416950650513172,0.0,0.0,0.0,True,False
6,0.0018357906956225634,0.012535156682133675,0.24043984658960638,0.10871168971061707,0.976685106754303,True,0,0.0,0,0.0,0.02525787614285946,0.02525787614285946,0.0,0.0,0.0,True,True,0.0010914640733972192,0.009240183979272842,0.24249456535964647,0.04906267300248146,0.9956132769584656,True,0,0.0,0,0.0,0.09868063032627106,0.09926028549671173,0.0,0.0,0.0,True,True
7,0.002766636898741126,0.017743755131959915,0.286652298484522,0.1378743201494217,0.9601277112960815,True,0,0.0,0,0.0,0.03325391188263893,0.03325390815734863,0.0,0.0,0.0,True,True,0.0016349927755072713,0.013991054147481918,0.29185312844694755,0.05127018690109253,0.9800666570663452,True,0,0.0,0,0.0,0.11527534574270248,0.11595864593982697,0.0,0.0,0.0,True,True
8,0.005327094811946154,0.021355831995606422,0.4483103980729476,0.17611514031887054,0.9574641585350037,True,0,0.0,0,0.0,0.03877157345414162,0.03877157345414162,0.0,0.0,0.0,True,True,0.0030135700944811106,0.016023069620132446,0.44375174548920676,0.07528156042098999,0.9812845587730408,True,0,0.0,0,0.0,0.13916900753974915,0.1392747163772583,0.0,0.0,0.0,True,True
9,0.0017067106673493981,0.016092300415039062,0.2182804927389544,0.09448572248220444,0.9689664840698242,True,0,0.0,0,0.0,0.029410231858491898,0.02941022999584675,0.0,0.0,0.0,True,True,0.0008902517147362232,0.012367501854896545,0.216617750796064,0.026670679450035095,0.9710742235183716,True,0,0.0,0,0.0,0.10729276388883591,0.12759163975715637,0.0,0.0,0.0,True,True
