train_domain,test_domain,N,classical_chamfer_l2,learned_chamfer_l2,raw_j_valid_rate,raw_cap_safe_rate,raw_safe_rate,post_j_valid_rate,post_cap_safe_rate,post_safe_rate,projection_activation_rate,post_chamfer_l2,raw_chamfer_l2_projection_eval,mean_projection_delta,cap_all_count,cap_all_alpha_mean,tangent_count,tangent_alpha_mean,all_count,all_alpha_mean
real,real,9,0.001957347192649689,0.0018113051925826333,nan,nan,nan,1.0,1.0,1.0,0.4782608695652174,0.0018728682429671449,0.0018113051925826333,6.156305038451177e-05,0,nan,0,nan,11,0.2778851969417453
real,real,11,0.0017833475874448638,0.0017105205195202004,nan,nan,nan,1.0,1.0,1.0,0.3333333333333333,0.0017269312769972853,0.0017105205195202004,1.6410757477084797e-05,0,nan,1,0.8047133386126006,6,0.2493392081617761
real,real,15,0.0014500055085158064,0.001390423995049094,nan,nan,nan,1.0,1.0,1.0,0.19047619047619047,0.001381983799676943,0.001390423995049094,-8.440195372150767e-06,0,nan,1,0.4486028105020523,3,0.368067145036548
synthetic,real,9,0.001957347192649689,0.0017498758325414003,nan,nan,nan,1.0,1.0,1.0,0.6956521739130435,0.0017412348850326532,0.0017498758325414003,-8.640947508747162e-06,0,nan,5,0.7198273032900033,11,0.28467066924622486
synthetic,real,11,0.0017833475874448638,0.0019291727762070618,nan,nan,nan,1.0,1.0,1.0,0.5714285714285714,0.0019043164017299812,0.0019291727762070618,-2.4856374477080645e-05,1,0.9966801106920684,1,0.7621001303195953,10,0.4619605825278995
synthetic,real,15,0.0014500055085158064,0.0013115063657529564,nan,nan,nan,1.0,1.0,1.0,0.5714285714285714,0.0013307091354536602,0.0013115063657529564,1.9202769700703876e-05,1,0.9758166372776031,1,0.6197637617588043,10,0.3304700047703591
mixed,real,9,0.001957347192649689,0.0016675854390284614,nan,nan,nan,1.0,1.0,1.0,0.5652173913043478,0.001727809170362256,0.0016675854390284614,6.02237313337948e-05,0,nan,1,0.38693498074917443,12,0.2490564766528678
mixed,synthetic,9,0.0074330651620402935,0.004776529469527304,nan,nan,nan,1.0,1.0,1.0,0.15,0.004941871386254206,0.004776529469527304,0.00016534191672690213,1,0.9853787124147857,2,0.24649549089326683,12,0.20533809911724651
mixed,real,11,0.0017833475874448638,0.001623013681854077,nan,nan,nan,1.0,1.0,1.0,0.42857142857142855,0.0016450572764456627,0.001623013681854077,2.2043594591585653e-05,1,0.9926131069660187,1,0.8317020237445831,7,0.2566510782171463
mixed,synthetic,11,0.0060711291321786124,0.004018635570537299,nan,nan,nan,1.0,1.0,1.0,0.14,0.0040934277640189976,0.004018635570537299,7.479219348169864e-05,4,0.977333769202005,4,0.3392969273261315,6,0.38998175412355823
mixed,real,15,0.0014500055085158064,0.0012688390935571598,nan,nan,nan,1.0,1.0,1.0,0.2857142857142857,0.0012785895364469894,0.0012688390935571598,9.750442889829477e-06,0,nan,0,nan,6,0.4531029796535222
mixed,synthetic,15,0.003885285137221217,0.0025909661449259147,nan,nan,nan,1.0,1.0,1.0,0.09,0.00261479320935905,0.0025909661449259147,2.382706443313509e-05,1,0.995953887700125,3,0.25369402269461716,5,0.23492510905452946
