idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,classical_geom_jacobian_valid,classical_geom_negative_jacobian,classical_geom_negative_fraction,classical_geom_degenerate,classical_geom_degenerate_fraction,classical_geom_minimum_signed_jacobian,classical_geom_minimum_area_scale,classical_geom_base_cap_fold_max,classical_geom_crown_cap_fold_max,classical_geom_cap_fold_max,classical_geom_cap_safe,classical_geom_safe,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,learned_geom_jacobian_valid,learned_geom_negative_jacobian,learned_geom_negative_fraction,learned_geom_degenerate,learned_geom_degenerate_fraction,learned_geom_minimum_signed_jacobian,learned_geom_minimum_area_scale,learned_geom_base_cap_fold_max,learned_geom_crown_cap_fold_max,learned_geom_cap_fold_max,learned_geom_cap_safe,learned_geom_safe
0,0.0020795888267457485,0.02035469561815262,0.19781778504782693,0.11764152348041534,0.962334930896759,True,0,0.0,0,0.0,0.013882715255022049,0.0138827133923769,0.0,0.0,0.0,True,True,0.0011821517255157232,0.01631542481482029,0.1880472462313276,0.05607825517654419,0.9724340438842773,True,0,0.0,0,0.0,0.06084873899817467,0.06092151999473572,0.0,0.0,0.0,True,True
1,0.0005352122243493795,0.011464785784482956,0.05557511777587012,0.0430346243083477,0.966727614402771,True,0,0.0,0,0.0,0.10822930932044983,0.10822930932044983,0.0,0.0,0.0,True,True,0.0002908388269133866,0.00942167453467846,0.04847037147884716,0.029928285628557205,0.980503499507904,True,0,0.0,0,0.0,0.23234859108924866,0.23241446912288666,0.0,0.0,0.0,True,True
2,0.008630363270640373,0.02848697453737259,0.5491337858331278,0.18664705753326416,0.9515390396118164,True,0,0.0,0,0.0,0.05417436733841896,0.05417436733841896,0.0,0.0,0.0,True,True,0.005680005997419357,0.022728532552719116,0.5458821139002025,0.11121697723865509,0.9581649899482727,True,0,0.0,0,0.0,0.19947852194309235,0.26272061467170715,0.0,0.0,0.0,True,True
3,0.0008732080459594727,0.010411626659333706,0.11897961101650507,0.08256037533283234,0.9345040917396545,True,0,0.0,0,0.0,8.267502380476799e-06,8.267502380476799e-06,0.0,0.0,0.0,True,True,0.000704690464772284,0.008899634703993797,0.11989871369897596,0.07821254432201385,0.9481311440467834,False,164,0.006743421052631579,0,0.0,-0.025456029921770096,1.963506110769231e-05,0.0006941902684047818,0.0,0.0006941902684047818,True,False
4,0.01143763680011034,0.034402232617139816,0.4824410407703279,0.3170701563358307,0.9324808120727539,True,0,0.0,0,0.0,0.0029042952228337526,0.0029042952228337526,0.0,0.0,0.0,True,True,0.007661445997655392,0.028335442766547203,0.48324143143017245,0.22184184193611145,0.9409068822860718,True,0,0.0,0,0.0,0.005525744985789061,0.005558245815336704,0.0,0.0,0.0,True,True
5,0.001276201568543911,0.020361807197332382,0.19529633455135328,0.041939254850149155,0.9485958814620972,True,0,0.0,0,0.0,0.015271758660674095,0.015271758660674095,0.0,0.0,0.0,True,True,0.0010737443808466196,0.01910971850156784,0.20229757953125416,0.03675134852528572,0.9609890580177307,False,1,4.111842105263158e-05,0,0.0,-0.010478450916707516,0.04409005120396614,0.0003212986921425909,0.0,0.0003212986921425909,True,False
6,0.006499160081148148,0.02340969815850258,0.43075608980785773,0.19973228871822357,0.9648134708404541,True,0,0.0,0,0.0,0.04525552690029144,0.045255519449710846,0.0,0.0,0.0,True,True,0.004018533509224653,0.018344413489103317,0.42902322921463065,0.1264285445213318,0.9837607145309448,True,0,0.0,0,0.0,0.1235082671046257,0.12352626025676727,0.0005728044197894633,0.0,0.0005728044197894633,True,True
7,0.0014621871523559093,0.020894434303045273,0.12176769129623721,0.07232622057199478,0.9338937401771545,True,0,0.0,0,0.0,0.004361386876553297,0.00436138641089201,0.0,0.0,0.0,True,True,0.0014308448880910873,0.020974058657884598,0.11971108475001216,0.06550491601228714,0.9354291558265686,False,8,0.0003289473684210526,0,0.0,-0.06639090925455093,0.012883261777460575,0.0,0.0,0.0,True,False
8,0.0022764632012695074,0.02215927466750145,0.13955375823041644,0.10663824528455734,0.8194401860237122,True,0,0.0,0,0.0,0.02016102522611618,0.02016102522611618,0.0,0.0,0.0,True,True,0.002390946727246046,0.022517163306474686,0.13930614242705303,0.10695988684892654,0.8228148221969604,True,0,0.0,0,0.0,0.04264510050415993,0.04268954321742058,0.0,0.0,0.0,True,True
9,0.0003683542017824948,0.010887357406318188,0.09100912320567486,0.03226785734295845,0.8757743835449219,True,0,0.0,0,0.0,0.0034288500901311636,0.00342884985730052,0.0,0.0,0.0,True,True,0.0003203806118108332,0.010399832390248775,0.06970716882586832,0.03032655082643032,0.877326250076294,False,1,4.111842105263158e-05,0,0.0,-0.017529459670186043,0.006894394289702177,0.0006709458539262414,0.0,0.0006709458539262414,True,False
10,0.0027795317582786083,0.018237031996250153,0.27667736534513215,0.09914384037256241,0.9783378839492798,True,0,0.0,0,0.0,0.0518452525138855,0.0518452487885952,0.0,0.0,0.0,True,True,0.001785284373909235,0.015161337330937386,0.2769344694797803,0.028312407433986664,0.9877023100852966,True,0,0.0,0,0.0,0.1529483199119568,0.1534571349620819,0.0,0.0,0.0,True,True
11,0.003238414879888296,0.02063799649477005,0.3111490612971536,0.11014304310083389,0.9326765537261963,True,0,0.0,0,0.0,0.05446396768093109,0.05446397140622139,0.0,0.0,0.0,True,True,0.0021022267173975706,0.01731281355023384,0.3116171645033625,0.07210884243249893,0.9471665620803833,True,0,0.0,0,0.0,0.003703726688399911,0.009954903274774551,0.0,0.0,0.0,True,True
12,0.015547383576631546,0.0332283116877079,0.6098711488214748,0.30068373680114746,0.9517396092414856,True,0,0.0,0,0.0,0.011017284356057644,0.01101728342473507,0.0,0.0,0.0,True,True,0.013716045767068863,0.028703836724162102,0.6080059910497884,0.28038933873176575,0.9625046849250793,True,0,0.0,0,0.0,0.012480002827942371,0.012512054294347763,0.0,0.0,0.0,True,True
13,0.0005762053770013154,0.012403404340147972,0.07614213105995529,0.04100435972213745,0.9313755631446838,True,0,0.0,0,0.0,0.006089179776608944,0.006089179776608944,0.0,0.0,0.0,True,True,0.0004428376560099423,0.011088736355304718,0.0756280510657369,0.035360079258680344,0.9403829574584961,True,0,0.0,0,0.0,0.019347665831446648,0.019353419542312622,0.0,0.0,0.0,True,True
14,0.007702307775616646,0.03046880103647709,0.39287993942418153,0.2622581124305725,0.9424406886100769,True,0,0.0,0,0.0,0.0019836220890283585,0.0019836220890283585,0.0,0.0,0.0,True,True,0.005120708141475916,0.02470209449529648,0.3765629740668514,0.1950872242450714,0.9570722579956055,True,0,0.0,0,0.0,0.004965994041413069,0.005193211138248444,0.0,0.0,0.0,True,True
15,0.004686751402914524,0.027775855734944344,0.2714483799845468,0.15065652132034302,0.9005483388900757,True,0,0.0,0,0.0,0.021788766607642174,0.021788766607642174,0.0,0.0,0.0,True,True,0.0037000691518187523,0.024395974352955818,0.25955408130241175,0.10715653002262115,0.9207648038864136,True,0,0.0,0,0.0,0.08216693997383118,0.08217309415340424,0.0,0.0,0.0,True,True
16,0.0004364557680673897,0.011418895795941353,0.1471092691790848,0.02927117794752121,0.9414991736412048,True,0,0.0,0,0.0,0.02218611165881157,0.02218611165881157,0.0,0.0,0.0,True,True,0.0003838290285784751,0.010705163702368736,0.14851719197746427,0.027313215658068657,0.9447695016860962,True,0,0.0,0,0.0,0.04948623105883598,0.05046187713742256,5.961882197880186e-05,0.0,5.961882197880186e-05,True,True
17,0.000611655181273818,0.012844057753682137,0.14287630020844913,0.03629244118928909,0.9457005858421326,True,0,0.0,0,0.0,0.020909888669848442,0.020909888669848442,0.0,0.0,0.0,True,True,0.0004869844124186784,0.01199367456138134,0.13036605739509452,0.0319090411067009,0.95355224609375,True,0,0.0,0,0.0,0.07400551438331604,0.07401709258556366,0.0,0.0,0.0,True,True
