idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,classical_geom_jacobian_valid,classical_geom_negative_jacobian,classical_geom_negative_fraction,classical_geom_degenerate,classical_geom_degenerate_fraction,classical_geom_minimum_signed_jacobian,classical_geom_minimum_area_scale,classical_geom_base_cap_fold_max,classical_geom_crown_cap_fold_max,classical_geom_cap_fold_max,classical_geom_cap_safe,classical_geom_safe,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,learned_geom_jacobian_valid,learned_geom_negative_jacobian,learned_geom_negative_fraction,learned_geom_degenerate,learned_geom_degenerate_fraction,learned_geom_minimum_signed_jacobian,learned_geom_minimum_area_scale,learned_geom_base_cap_fold_max,learned_geom_crown_cap_fold_max,learned_geom_cap_fold_max,learned_geom_cap_safe,learned_geom_safe
0,0.0005409558652900159,0.01038704626262188,0.1469877811899747,0.04856930300593376,0.9251233339309692,True,0,0.0,0,0.0,0.0014384485548362136,0.0014384484384208918,0.0,0.0,0.0,True,True,0.0005272270645946264,0.01034546084702015,0.14727520772379904,0.045537155121564865,0.928864598274231,False,18,0.0008900316455696202,0,0.0,-0.01021667756140232,0.0010770474327728152,0.0,0.0,0.0,True,False
1,0.0014708609087392688,0.019088324159383774,0.13697370870640885,0.08147779107093811,0.8965290784835815,True,0,0.0,0,0.0,0.0004825897340197116,0.00048258970491588116,0.0,0.0,0.0,True,True,0.0015637142350897193,0.019577451050281525,0.14404606573363937,0.08339451253414154,0.8957249522209167,False,97,0.004796281645569621,0,0.0,-0.8692516088485718,0.004719901829957962,0.0,0.0,0.0,True,False
2,0.0007704063318669796,0.014588402584195137,0.22342323077595028,0.026413213461637497,0.9572003483772278,True,0,0.0,0,0.0,0.015353255905210972,0.015353255905210972,0.0,0.0,0.0,True,True,0.0007561079110018909,0.014417561702430248,0.2232334619186887,0.029632873833179474,0.9667370915412903,False,2,9.889240506329114e-05,0,0.0,-0.024432502686977386,0.02165040746331215,2.9124837510607904e-06,0.0,2.9124837510607904e-06,True,False
3,0.002035360084846616,0.023802755400538445,0.13996131899049996,0.08365499973297119,0.9275050759315491,True,0,0.0,0,0.0,0.005889123305678368,0.005889123771339655,0.0,0.0,0.0,True,True,0.0017316703451797366,0.022605888545513153,0.1458814738777116,0.06550582498311996,0.9309385418891907,False,15,0.0007416930379746836,0,0.0,-0.10815570503473282,0.009919834323227406,0.0,0.0,0.0,True,False
4,0.0016539227217435837,0.022270087152719498,0.2075514017203198,0.0706225037574768,0.9483347535133362,True,0,0.0,0,0.0,0.019153401255607605,0.019153399392962456,0.0,0.0,0.0,True,True,0.0010830124374479055,0.01922762766480446,0.19420463113264438,0.03666505217552185,0.9590691328048706,True,0,0.0,0,0.0,0.040592268109321594,0.049103301018476486,0.0007156137144193053,0.0,0.0007156137144193053,True,True
5,0.000995473936200142,0.016169508919119835,0.09117957807489713,0.07378722727298737,0.9625495672225952,True,0,0.0,0,0.0,0.0026232535019516945,0.002623253734782338,0.0,0.0,0.0,True,True,0.0006243475945666432,0.014234336093068123,0.08135745652367131,0.04160595312714577,0.9702329635620117,False,102,0.005043512658227848,0,0.0,-2.790994644165039,0.0049261967651546,0.00011087588791269809,0.0,0.00011087588791269809,True,False
6,0.0007784808985888958,0.015862612053751945,0.05024079514645685,0.04200807213783264,0.8990851044654846,True,0,0.0,0,0.0,0.01045980118215084,0.010459800250828266,0.0,0.0,0.0,True,True,0.0006846145261079073,0.014549411833286285,0.06517388743163208,0.042930636554956436,0.9149650931358337,False,20,0.0009889240506329115,0,0.0,-0.37345096468925476,0.029054714366793633,0.0,0.0,0.0,True,False
7,0.00044750358210876584,0.01166982389986515,0.08277627123239194,0.03779178485274315,0.8761894106864929,True,0,0.0,0,0.0,0.00048367585986852646,0.0004836758889723569,0.0,0.0,0.0,True,True,0.0003147834213450551,0.010409046895802021,0.0733511527443412,0.029690207913517952,0.8781012296676636,False,3,0.0001483386075949367,0,0.0,-0.05201605707406998,0.002314142417162657,0.0,0.0,0.0,True,False
8,0.000716662616468966,0.014002697542309761,0.13972054467214312,0.041386380791664124,0.938125491142273,True,0,0.0,0,0.0,0.018541861325502396,0.018541859462857246,0.0,0.0,0.0,True,True,0.0006277295760810375,0.013320522382855415,0.12812149432666414,0.04031393304467201,0.9449566006660461,True,0,0.0,0,0.0,0.06513997167348862,0.06518558412790298,0.0,0.0,0.0,True,True
9,0.002600371139124036,0.02688438445329666,0.26920232190240345,0.08188561350107193,0.8853939175605774,True,0,0.0,0,0.0,0.014740081503987312,0.014740081503987312,0.0,0.0,0.0,True,True,0.0020297665614634752,0.023738302290439606,0.28073167723109316,0.06274129450321198,0.8968689441680908,False,26,0.0012856012658227847,0,0.0,-0.8179569244384766,0.02831869013607502,0.001983280759304762,0.0,0.001983280759304762,False,False
