idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,classical_geom_jacobian_valid,classical_geom_negative_jacobian,classical_geom_negative_fraction,classical_geom_degenerate,classical_geom_degenerate_fraction,classical_geom_minimum_signed_jacobian,classical_geom_minimum_area_scale,classical_geom_base_cap_fold_max,classical_geom_crown_cap_fold_max,classical_geom_cap_fold_max,classical_geom_cap_safe,classical_geom_safe,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,learned_geom_jacobian_valid,learned_geom_negative_jacobian,learned_geom_negative_fraction,learned_geom_degenerate,learned_geom_degenerate_fraction,learned_geom_minimum_signed_jacobian,learned_geom_minimum_area_scale,learned_geom_base_cap_fold_max,learned_geom_crown_cap_fold_max,learned_geom_cap_fold_max,learned_geom_cap_safe,learned_geom_safe
0,0.014486884698271751,0.04103773832321167,0.6220157665250704,0.2543568015098572,0.9020479321479797,True,0,0.0,0,0.0,0.06332507729530334,0.06332507729530334,0.0,0.0,0.0,True,True,0.008076011203229427,0.03156539052724838,0.6220006259948794,0.11928791552782059,0.9138384461402893,True,0,0.0,0,0.0,0.33467674255371094,0.33523231744766235,0.0,0.0,0.0,True,True
1,0.0068827541545033455,0.02852598950266838,0.4285177955815885,0.13800360262393951,0.9167031049728394,True,0,0.0,0,0.0,0.001100377063266933,0.001100377063266933,0.0,0.0,0.0,True,True,0.004401622340083122,0.022840335965156555,0.3976915707293676,0.09161079674959183,0.9301491975784302,True,0,0.0,0,0.0,0.005438432563096285,0.007302009966224432,0.001523992046713829,0.0,0.001523992046713829,False,False
2,0.015553499571979046,0.0333762988448143,0.6098711488214748,0.3006746172904968,0.950121283531189,True,0,0.0,0,0.0,0.011017284356057644,0.01101728342473507,0.0,0.0,0.0,True,True,0.013716505840420723,0.028806013986468315,0.6080059910497884,0.2803715765476227,0.9614720344543457,True,0,0.0,0,0.0,0.012480002827942371,0.012512054294347763,0.0,0.0,0.0,True,True
3,0.0017035845667123795,0.018507227301597595,0.1768621484515585,0.06182542443275452,0.9651480317115784,True,0,0.0,0,0.0,0.029636956751346588,0.02963695488870144,0.0,0.0,0.0,True,True,0.0010219631949439645,0.014996008016169071,0.1687949454093009,0.02610665187239647,0.9719310402870178,True,0,0.0,0,0.0,0.12645915150642395,0.1264639049768448,0.0,0.0,0.0,True,True
4,0.007189168129116297,0.025928255170583725,0.3745005181936695,0.21185851097106934,0.9551432132720947,True,0,0.0,0,0.0,0.00384036754257977,0.0038403677754104137,0.0,0.0,0.0,True,True,0.006462912540882826,0.023923009634017944,0.3747921804912636,0.17262758314609528,0.9612573981285095,True,0,0.0,0,0.0,0.0069368015974760056,0.006943786516785622,0.0,0.0,0.0,True,True
5,0.006027254741638899,0.02710428088903427,0.37433547507067133,0.2154427468776703,0.9593385457992554,True,0,0.0,0,0.0,0.08086138218641281,0.08086137473583221,0.0,0.0,0.0,True,True,0.0028951007407158613,0.01974559761583805,0.34059998350409393,0.06300803273916245,0.966703474521637,True,0,0.0,0,0.0,0.2667040526866913,0.3208513855934143,0.0,0.0,0.0,True,True
6,0.009106164798140526,0.03506114333868027,0.4487845271011935,0.245760977268219,0.9234845638275146,True,0,0.0,0,0.0,0.07724405825138092,0.07724405825138092,0.0,0.0,0.0,True,True,0.004984034225344658,0.026406321674585342,0.4528426244178258,0.10357704758644104,0.9330031871795654,True,0,0.0,0,0.0,0.31223058700561523,0.31839388608932495,0.0,0.0,0.0,True,True
7,0.013376901857554913,0.03744594007730484,0.5857454621012637,0.2747267782688141,0.8938974142074585,True,0,0.0,0,0.0,0.03297239914536476,0.03297239914536476,0.0,0.0,0.0,True,True,0.007188848219811916,0.027544528245925903,0.5866308306410974,0.12749160826206207,0.9083298444747925,True,0,0.0,0,0.0,0.0354243740439415,0.035838738083839417,0.0,0.0,0.0,True,True
8,0.0031224151607602835,0.018977638334035873,0.2869324950236828,0.15020376443862915,0.9560331702232361,True,0,0.0,0,0.0,0.006973741110414267,0.006973740644752979,0.0,0.0,0.0,True,True,0.0017279807943850756,0.014666012488305569,0.267454035031847,0.07039719820022583,0.971390426158905,True,0,0.0,0,0.0,0.0637783408164978,0.06379112601280212,0.00031430221861228347,0.0,0.00031430221861228347,True,True
9,0.003801462473347783,0.01887107640504837,0.3242563317819639,0.13531339168548584,0.9628464579582214,True,0,0.0,0,0.0,0.07696356624364853,0.07696355879306793,0.0,0.0,0.0,True,True,0.0023558344691991806,0.015514319762587547,0.3279311084091729,0.046507131308317184,0.9862439036369324,True,0,0.0,0,0.0,0.10444550961256027,0.1064833551645279,0.0006472654640674591,0.0,0.0006472654640674591,True,True
10,0.011445892974734306,0.034528184682130814,0.4824411025443437,0.3170645534992218,0.9329118132591248,True,0,0.0,0,0.0,0.0029042952228337526,0.0029042952228337526,0.0,0.0,0.0,True,True,0.007668144069612026,0.02843877673149109,0.48324143143017245,0.22181828320026398,0.941191554069519,True,0,0.0,0,0.0,0.005525744985789061,0.005558245815336704,0.0,0.0,0.0,True,True
11,0.006186214275658131,0.025397997349500656,0.40754815080429335,0.20046445727348328,0.9708346724510193,True,0,0.0,0,0.0,0.0628894567489624,0.0628894567489624,0.0,0.0,0.0,True,True,0.0030332591850310564,0.017790865153074265,0.4068071506258131,0.06744514405727386,0.9794108867645264,True,0,0.0,0,0.0,0.21521130204200745,0.2776394784450531,0.0,0.0,0.0,True,True
12,0.00464849965646863,0.0192413367331028,0.3922061581371819,0.1522643119096756,0.9697245955467224,True,0,0.0,0,0.0,0.10045155137777328,0.10045155137777328,0.0,0.0,0.0,True,True,0.0024658069014549255,0.014513367787003517,0.392436709008754,0.02514766901731491,0.9822850227355957,True,0,0.0,0,0.0,0.23535270988941193,0.23632080852985382,0.0,0.0,0.0,True,True
