idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,classical_geom_jacobian_valid,classical_geom_negative_jacobian,classical_geom_negative_fraction,classical_geom_degenerate,classical_geom_degenerate_fraction,classical_geom_minimum_signed_jacobian,classical_geom_minimum_area_scale,classical_geom_base_cap_fold_max,classical_geom_crown_cap_fold_max,classical_geom_cap_fold_max,classical_geom_cap_safe,classical_geom_safe,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency,learned_geom_jacobian_valid,learned_geom_negative_jacobian,learned_geom_negative_fraction,learned_geom_degenerate,learned_geom_degenerate_fraction,learned_geom_minimum_signed_jacobian,learned_geom_minimum_area_scale,learned_geom_base_cap_fold_max,learned_geom_crown_cap_fold_max,learned_geom_cap_fold_max,learned_geom_cap_safe,learned_geom_safe
0,0.0007944863173179328,0.015867389738559723,0.0907287135735172,0.050091639161109924,0.9158654808998108,True,0,0.0,0,0.0,0.00020717283769045025,0.00020717283769045025,0.0,0.0,0.0,True,True,0.0008233381668105721,0.016129327937960625,0.09174166703387185,0.050741441547870636,0.914824903011322,False,32,0.0013157894736842105,0,0.0,-0.43765634298324585,0.0005866675637662411,0.0,0.0,0.0,True,False
1,0.0007786010974086821,0.014332197606563568,0.21428899233870902,0.026383614167571068,0.9555782675743103,True,0,0.0,0,0.0,0.017208939418196678,0.017208939418196678,0.0,0.0,0.0,True,True,0.0007990715093910694,0.014266069047152996,0.21934088873773516,0.02716091275215149,0.9594510793685913,True,0,0.0,0,0.0,0.02067522704601288,0.02071353979408741,0.0,0.0,0.0,True,True
2,0.0014504503924399614,0.0208301842212677,0.12109424221800164,0.07242412120103836,0.9349261522293091,True,0,0.0,0,0.0,0.004361386876553297,0.00436138641089201,0.0,0.0,0.0,True,True,0.0012323895934969187,0.0198524110019207,0.12535569129199692,0.0572388730943203,0.9353644251823425,False,14,0.000575657894736842,0,0.0,-0.02680535428225994,0.01208061445504427,0.0,0.0,0.0,True,False
3,0.0012591443955898285,0.020235812291502953,0.19633719580052325,0.042287927120923996,0.9476485848426819,True,0,0.0,0,0.0,0.015271758660674095,0.015271758660674095,0.0,0.0,0.0,True,True,0.0011729123070836067,0.019644249230623245,0.19806426383882547,0.04135456308722496,0.948431134223938,True,0,0.0,0,0.0,0.004267612472176552,0.011034807190299034,0.0,0.0,0.0,True,True
4,0.0035066059790551662,0.025223618373274803,0.17649763675524568,0.13000309467315674,0.951246976852417,True,0,0.0,0,0.0,0.04735459014773369,0.04735458642244339,0.0,0.0,0.0,True,True,0.003086208598688245,0.023645129054784775,0.16964277826751942,0.11749177426099777,0.9532966613769531,True,0,0.0,0,0.0,0.07628680765628815,0.07633353769779205,0.0,0.0,0.0,True,True
5,0.001558263087645173,0.021018285304307938,0.0670613867086471,0.053584855049848557,0.8887410759925842,True,0,0.0,0,0.0,0.010198760777711868,0.010198761709034443,0.0,0.0,0.0,True,True,0.0015407634200528264,0.020863093435764313,0.0649636596182754,0.05368807539343834,0.8979036808013916,False,8,0.0003289473684210526,0,0.0,-0.19803474843502045,0.012204854749143124,0.0,0.0,0.0,True,False
6,0.0003607564140111208,0.010816426947712898,0.08796383404843619,0.031541235744953156,0.8758750557899475,True,0,0.0,0,0.0,0.0034288500901311636,0.00342884985730052,0.0,0.0,0.0,True,True,0.00034685665741562843,0.010570480488240719,0.08804917340126202,0.03164644539356232,0.8750980496406555,True,0,0.0,0,0.0,0.00362303014844656,0.003631614614278078,0.0,0.0,0.0,True,True
7,0.0006306094583123922,0.012972109019756317,0.14724858258743917,0.03708815574645996,0.9449456930160522,True,0,0.0,0,0.0,0.020909888669848442,0.020909888669848442,0.0,0.0,0.0,True,True,0.0006352973869070411,0.012994338758289814,0.14133992852791288,0.039238881319761276,0.9470503926277161,True,0,0.0,0,0.0,0.027618108317255974,0.027619732543826103,0.0,0.0,0.0,True,True
8,0.00175736122764647,0.02113424986600876,0.2929512018670324,0.056124791502952576,0.9127594232559204,True,0,0.0,0,0.0,0.0063374959863722324,0.0063374959863722324,0.0,0.0,0.0,True,True,0.001694442587904632,0.020688768476247787,0.2937261708719617,0.05716082826256752,0.9138853549957275,False,65,0.0026726973684210527,0,0.0,-1.2292110919952393,0.007768902461975813,0.0,0.0,0.0,True,False
9,0.0005397419445216656,0.011511551216244698,0.05568708186428781,0.043527260422706604,0.9660771489143372,True,0,0.0,0,0.0,0.10822930932044983,0.10822930932044983,0.0,0.0,0.0,True,True,0.0003804856678470969,0.010249465703964233,0.05775099911176414,0.038258232176303864,0.9697905778884888,True,0,0.0,0,0.0,0.15536069869995117,0.1553717404603958,0.0,0.0,0.0,True,True
