index,raw_j_valid,raw_cap_safe,raw_safe,raw_negative_jacobian,raw_negative_fraction,raw_degenerate,raw_degenerate_fraction,raw_minimum_signed_jacobian,raw_minimum_area_scale,raw_base_cap_fold_max,raw_crown_cap_fold_max,raw_cap_fold,raw_chamfer_l2,raw_hausdorff,projection_activated,projection_stage,alpha,retained_percent,post_j_valid,post_cap_safe,post_safe,post_negative_jacobian,post_negative_fraction,post_degenerate,post_degenerate_fraction,post_minimum_signed_jacobian,post_minimum_area_scale,post_base_cap_fold_max,post_crown_cap_fold_max,post_cap_fold,post_chamfer_l2,post_hausdorff,delta_chamfer_l2
0,0,1,0,7,0.000346123417721519,0,0.0,-0.0024057957343757153,0.0017949771136045456,0.0,0.0,0.0,0.0005561442812904716,0.14700671843661747,1,all,0.5316198766222442,53.16198766222442,1,1,1,0,0.0,0,0.0,2.473825588822365e-10,0.0008154967217706144,0.0,0.0,0.0,0.0005438235821202397,0.14701522641528783,-1.2320699170231819e-05
1,0,1,0,60,0.0029667721518987344,0,0.0,-0.3464980721473694,0.0007036321912892163,0.0,0.0,0.0,0.0015030645299702883,0.13741934290901284,1,all,0.31186439096927643,31.186439096927643,1,1,1,0,0.0,0,0.0,0.0005895678768865764,0.0005929350154474378,0.0,0.0,0.0,0.0014721313491463661,0.13698883626867256,-3.093318082392216e-05
2,0,1,0,2,9.889240506329114e-05,0,0.0,-0.007064320147037506,0.006333526223897934,0.0,0.0,0.0,0.0008109200862236321,0.23147879732527243,1,all,0.732684999704361,73.2684999704361,1,1,1,0,0.0,0,0.0,1.1688098311424255e-07,0.0025650847237557173,0.0,0.0,0.0,0.0008011989993974566,0.22944738072396392,-9.721086826175451e-06
3,0,1,0,13,0.0006428006329113924,0,0.0,-0.03753248229622841,0.005486755631864071,0.0,0.0,0.0,0.0016991673037409782,0.14235648473016937,1,all,0.1829034462571144,18.29034462571144,1,1,1,0,0.0,0,0.0,2.2351741790771484e-08,0.004181113094091415,0.0,0.0,0.0,0.0019581818487495184,0.14042246326439192,0.00025901454500854015
4,1,1,1,0,0.0,0,0.0,0.024287084117531776,0.024827932938933372,0.0,0.0,0.0,0.0013611747417598963,0.1994410751533984,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.024287084117531776,0.024827932938933372,0.0,0.0,0.0,0.0013611747417598963,0.1994410751533984,0.0
5,0,1,0,46,0.002274525316455696,0,0.0,-0.9830611348152161,0.0021121869795024395,0.0,0.0,0.0,0.0006893797544762492,0.07530006630046523,1,all,0.2466607168316841,24.66607168316841,1,1,1,0,0.0,0,0.0,7.443595677614212e-07,0.0026647201739251614,0.0,0.0,0.0,0.0008992027724161744,0.08683069924613925,0.0002098230179399252
6,1,1,1,0,0.0,0,0.0,0.011852196417748928,0.011852770112454891,0.0,0.0,0.0,0.0008422923856414855,0.04989555895045686,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.011852196417748928,0.011852770112454891,0.0,0.0,0.0,0.0008422923856414855,0.04989555895045686,0.0
7,0,1,0,3,0.0001483386075949367,0,0.0,-0.012152014300227165,0.0030500509310513735,0.0,0.0,0.0,0.0003446738119237125,0.089675746240587,1,all,0.3408455699673141,34.08455699673141,1,1,1,0,0.0,0,0.0,2.6775524020195007e-08,0.0031904035713523626,0.0,0.0,0.0,0.0003925513883586973,0.08541363383884902,4.78775764349848e-05
8,1,1,1,0,0.0,0,0.0,0.02478577196598053,0.024787606671452522,0.0,0.0,0.0,0.0007381108007393777,0.13970049974683912,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.02478577196598053,0.024787606671452522,0.0,0.0,0.0,0.0007381108007393777,0.13970049974683912,0.0
9,0,1,0,17,0.0008405854430379747,0,0.0,-0.22239044308662415,0.008020449429750443,0.0,0.0,0.0,0.002080407692119479,0.2680626818566696,1,all,0.0838465802362407,8.38465802362407,1,1,1,0,0.0,0,0.0,2.477318048477173e-07,0.011188704520463943,0.0,0.0,0.0,0.002538310596719384,0.2691018927931091,0.000457902904599905
10,1,1,1,0,0.0,0,0.0,0.12177647650241852,0.12178345769643784,0.0,0.0,0.0,0.0005388415884226561,0.06617832337073354,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.12177647650241852,0.12178345769643784,0.0,0.0,0.0,0.0005388415884226561,0.06617832337073354,0.0
11,1,1,1,0,0.0,0,0.0,0.00037084115319885314,0.00041840135236270726,0.0,0.0,0.0,0.0003795946831814945,0.054536406374346064,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.00037084115319885314,0.00041840135236270726,0.0,0.0,0.0,0.0003795946831814945,0.054536406374346064,0.0
12,1,1,1,0,0.0,0,0.0,0.031535323709249496,0.03153685852885246,0.0,0.0,0.0,0.001017148606479168,0.14928937209443238,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.031535323709249496,0.03153685852885246,0.0,0.0,0.0,0.001017148606479168,0.14928937209443238,0.0
13,0,1,0,3,0.0001483386075949367,0,0.0,-0.008716808632016182,0.0045044636353850365,0.0,0.0,0.0,0.0003521268372423947,0.07768084813359394,1,all,0.5248877704134429,52.48877704134429,1,1,1,0,0.0,0,0.0,4.892717697657645e-08,0.00153946818318218,0.0,0.0,0.0,0.0003598444163799286,0.07770041485924845,7.717579137533903e-06
14,1,1,1,0,0.0,0,0.0,0.015868492424488068,0.016042843461036682,0.0,0.0,0.0,0.005060688592493534,0.49125942650697874,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.015868492424488068,0.016042843461036682,0.0,0.0,0.0,0.005060688592493534,0.49125942650697874,0.0
15,1,1,1,0,0.0,0,0.0,0.01664402149617672,0.016645602881908417,0.0,0.0,0.0,0.0015622898936271667,0.09079734450294212,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.01664402149617672,0.016645602881908417,0.0,0.0,0.0,0.0015622898936271667,0.09079734450294212,0.0
16,0,1,0,307,0.01517998417721519,0,0.0,-2.754608631134033,0.0021183385979384184,0.0,0.0,0.0,0.008493567816913128,0.278538013109504,1,all,0.01271008280946262,1.271008280946262,1,1,1,0,0.0,0,0.0,0.0012444084277376533,0.0012444353196769953,0.0,0.0,0.0,0.008728031069040298,0.27729796985442967,0.00023446325212717056
17,1,1,1,0,0.0,0,0.0,0.0010659864638000727,0.0010832782136276364,0.0,0.0,0.0,0.000805061892606318,0.11857143830514366,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.0010659864638000727,0.0010832782136276364,0.0,0.0,0.0,0.000805061892606318,0.11857143830514366,0.0
18,1,1,1,0,0.0,0,0.0,0.026513179764151573,0.026514846831560135,0.0,0.0,0.0,0.000489160418510437,0.1494738889110286,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.026513179764151573,0.026514846831560135,0.0,0.0,0.0,0.000489160418510437,0.1494738889110286,0.0
19,1,1,1,0,0.0,0,0.0,0.028096990659832954,0.028098048642277718,0.0,0.0,0.0,0.009831351228058338,0.2073426423981095,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.028096990659832954,0.028098048642277718,0.0,0.0,0.0,0.009831351228058338,0.2073426423981095,0.0
