index,raw_j_valid,raw_cap_safe,raw_safe,raw_negative_jacobian,raw_negative_fraction,raw_degenerate,raw_degenerate_fraction,raw_minimum_signed_jacobian,raw_minimum_area_scale,raw_base_cap_fold_max,raw_crown_cap_fold_max,raw_cap_fold,raw_chamfer_l2,raw_hausdorff,projection_activated,projection_stage,alpha,retained_percent,post_j_valid,post_cap_safe,post_safe,post_negative_jacobian,post_negative_fraction,post_degenerate,post_degenerate_fraction,post_minimum_signed_jacobian,post_minimum_area_scale,post_base_cap_fold_max,post_crown_cap_fold_max,post_cap_fold,post_chamfer_l2,post_hausdorff,delta_chamfer_l2
0,0,0,0,130,0.003998523622047244,0,0.0,-0.12677651643753052,0.0014595127431675792,0.0,0.004646714311093092,0.004646714311093092,0.0011213941033929586,0.11261580123339249,1,all,0.17758088558821328,17.758088558821328,1,1,1,0,0.0,0,0.0,1.9316576072014868e-07,0.0004294701211620122,0.0,0.0,0.0,0.0011853892356157303,0.11629912292202224,6.399513222277164e-05
1,0,1,0,3,9.227362204724409e-05,0,0.0,-0.14286386966705322,0.029717249795794487,0.0,0.0,0.0,0.0006439306307584047,0.19231991780603913,1,all,0.40500594675540924,40.500594675540924,1,1,1,0,0.0,0,0.0,7.450580596923828e-08,0.014579403214156628,0.0,0.0,0.0,0.0006729031447321177,0.20976467274426602,2.897251397371292e-05
2,0,1,0,87,0.0026759350393700788,0,0.0,-0.7406186461448669,0.006336359307169914,0.0,0.0,0.0,0.0012176207965239882,0.11193201593456174,1,all,0.15426809340715408,15.426809340715408,1,1,1,0,0.0,0,0.0,5.98374754190445e-08,0.004648210015147924,0.0,0.0,0.0,0.0009210841963067651,0.11262691957894483,-0.00029653660021722317
3,1,0,0,0,0.0,0,0.0,0.02655852772295475,0.02657504938542843,0.0,0.002131193410605192,0.002131193410605192,0.0009499308071099222,0.19606195663228498,1,cap_all,0.9758166372776031,97.58166372776031,1,1,1,0,0.0,0,0.0,0.026016704738140106,0.026033513247966766,0.0,0.0009999212343245745,0.0009999212343245745,0.0009564504725858569,0.19819227069368706,6.519665475934744e-06
4,0,1,0,11,0.00033833661417322834,0,0.0,-0.09807109087705612,0.07536513358354568,0.0,0.0,0.0,0.004052252508699894,0.24808531936330644,1,tangent,0.6197637617588043,61.97637617588043,1,1,1,0,0.0,0,0.0,1.0058283805847168e-07,0.1435903012752533,0.0,0.0,0.0,0.004076425451785326,0.24808531936330644,2.4172943085432053e-05
5,1,1,1,0,0.0,0,0.0,0.028454158455133438,0.028457975015044212,0.0,0.0,0.0,0.0005425531417131424,0.063508011290044,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.028454158455133438,0.028457975015044212,0.0,0.0,0.0,0.0005425531417131424,0.063508011290044,0.0
6,0,1,0,47,0.0014456200787401575,0,0.0,-0.4911406636238098,0.003229227615520358,0.0,0.0,0.0,0.0003416233230382204,0.08653812057820727,1,all,0.1848917379975319,18.48917379975319,1,1,1,0,0.0,0,0.0,1.5133991837501526e-07,0.0023422585800290108,0.0,0.0,0.0,0.0003653801395557821,0.09875058234320727,2.3756816517561674e-05
7,1,1,1,0,0.0,0,0.0,0.015326857566833496,0.019218511879444122,0.0,0.0,0.0,0.00040860020089894533,0.1377654201509939,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.015326857566833496,0.019218511879444122,0.0,0.0,0.0,0.00040860020089894533,0.1377654201509939,0.0
8,0,1,0,44,0.0013533464566929134,0,0.0,-2.1310977935791016,0.012021087110042572,9.406879144080449e-06,0.0009865453466773033,0.0009865453466773033,0.00137996394187212,0.2979460894565048,1,all,0.19306936114935525,19.306936114935525,1,1,1,0,0.0,0,0.0,7.753260433673859e-08,0.007395287975668907,0.0,0.0,0.0,0.0013294348027557135,0.29960390754893457,-5.052913911640644e-05
9,1,1,1,0,0.0,0,0.0,0.14126014709472656,0.14129655063152313,0.0,0.0,0.0,0.0003907178179360926,0.06839772919571863,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.14126014709472656,0.14129655063152313,0.0,0.0,0.0,0.0003907178179360926,0.06839772919571863,0.0
10,0,1,0,6,0.00018454724409448819,0,0.0,-0.004096496384590864,0.00455071497708559,0.0,0.0,0.0,0.0004260897112544626,0.06532564003649466,1,all,0.07397478446273453,7.397478446273453,1,1,1,0,0.0,0,0.0,-9.422365110367537e-09,0.00020804593805223703,0.0,0.0,0.0,0.00036753411404788494,0.04893325931254816,-5.855559720657766e-05
11,1,1,1,0,0.0,0,0.0,0.06082373857498169,0.09956225752830505,0.0,0.00027412601048126817,0.00027412601048126817,0.00045343185774981976,0.11764994214919185,0,none,1.0,100.0,1,1,1,0,0.0,0,0.0,0.06082373857498169,0.09956225752830505,0.0,0.00027412601048126817,0.00027412601048126817,0.00045343185774981976,0.11764994214919185,0.0
12,0,1,0,59,0.0018147145669291339,0,0.0,-0.16900290548801422,0.020040074363350868,0.0,0.0,0.0,0.00019636146316770464,0.05260593172140012,1,all,0.585361927746817,58.536192774681695,1,1,1,0,0.0,0,0.0,7.025118975434452e-08,0.01308987196534872,0.0,0.0,0.0,0.00020707202202174813,0.05268829593079881,1.0710558854043484e-05
13,0,0,0,454,0.013964074803149606,0,0.0,-0.7550433278083801,0.017633521929383278,0.0,0.0048201680183410645,0.0048201680183410645,0.002499645808711648,0.46196356219831647,1,all,0.820679515599295,82.0679515599295,1,1,1,0,0.0,0,0.0,4.67151403427124e-06,0.018519563600420952,0.0,0.0,0.0,0.0027840775437653065,0.47722178335389215,0.0002844317350536585
