epoch,train_loss,train_chamfer,train_normal,train_jacobian,train_cap_fold,val_chamfer_l2,val_hausdorff,c1_min,j_valid_rate,cap_safe_rate,safe_rate,mean_negative_j_fraction,mean_cap_fold,worst_cap_fold,secs
0,0.016375209891120904,0.01017571116273757,0.06199498603236862,0.0,0.0,0.0066776475158985705,0.3312617352401386,0.002865973860025406,1.0,1.0,1.0,0.0,0.0,0.0,22.03592276573181
5,0.01300149537215475,0.007610252550221048,0.05041002615063917,0.0071280525754991685,0.009187117169387875,0.00432946415967308,0.32172270863413766,0.0792609378695488,0.89,1.0,0.89,0.0003038930084745763,1.837978750700131e-05,0.0005917734815739095,30.928635835647583
10,0.012777928844443523,0.0073341670056106525,0.050889140161452816,0.01042311485183261,0.004805645224921591,0.004081294232746586,0.31841824598685164,0.3826565742492676,0.86,0.89,0.77,0.0010387976694915255,0.00026954686043609397,0.002428254345431924,30.89893126487732
15,0.012600264169159346,0.00746430141851306,0.04803422292228788,0.005916071021676145,0.0071594621539406945,0.004317513168789446,0.3213296979069005,0.09134538471698761,0.87,1.0,0.87,0.0003866525423728814,0.0,0.0,30.684303045272827
20,0.012474869282450528,0.0074425784900086,0.04739367892732844,0.0047337217258193,0.004891910510615673,0.00422985213866923,0.3202779652843732,0.13644319772720337,0.87,0.98,0.85,0.0005806408898305085,5.850458713211992e-05,0.002221114234998822,30.913163661956787
25,0.01234673529630527,0.007268292524095159,0.047670944081619385,0.00582208150036422,0.003722106548846682,0.004103604678530246,0.31897878829378795,0.09900636225938797,0.87,0.95,0.83,0.0005031779661016949,0.00015188069141004235,0.002806954551488161,30.683484077453613
30,0.012260753466398456,0.007279226681857836,0.04677988526993431,0.005401521321302005,0.003985356398644626,0.0041646021109772845,0.31959809663103345,0.1354447305202484,0.87,0.97,0.84,0.0004462394067796611,9.925822576406062e-05,0.003222909988835454,30.674421310424805
35,0.01221123403054662,0.007286494138534181,0.04610991315392312,0.006059973787259878,0.002497403325270966,0.004087765741860494,0.3190359276092418,0.15250808000564575,0.85,0.85,0.73,0.0004601430084745763,0.0002957964439701755,0.0029387467075139284,30.75338840484619
40,0.012258538476307876,0.007279647062823642,0.04651607093866914,0.005939365063744848,0.0027749177592647813,0.004060886838124134,0.31851464182015854,0.1741633415222168,0.87,0.92,0.8,0.00043697033898305084,0.0001555748243981725,0.0033403406850993633,30.60553002357483
45,0.012239816641667858,0.007293419806519524,0.046007934286026286,0.006595479196585359,0.006125562307728245,0.004071245035156608,0.31870788372391934,0.02773403748869896,0.85,0.96,0.83,0.00044425317796610174,9.226128335285466e-05,0.0034011139068752527,30.688576221466064
50,0.012155452830484137,0.007215114099089988,0.046116985307307914,0.006282999986844153,0.0019753172040263677,0.004073328977683559,0.31904087402714093,0.022010160610079765,0.87,0.98,0.85,0.0004449152542372882,6.34220487336279e-05,0.0028357647825032473,31.051337480545044
55,0.012053598632337525,0.007199657146411482,0.04521330505784135,0.0061328773683506374,0.002948964600290935,0.004048977839411236,0.31868011052158474,0.02166437730193138,0.86,0.84,0.74,0.00032640360169491526,0.0002984858970739879,0.0037875582929700613,30.65855884552002
60,0.011970046222559176,0.007200970346166287,0.044476397315156645,0.0055800593838089795,0.0024455339040039803,0.0040429164766101165,0.31845254900753867,0.026240672916173935,0.87,0.93,0.83,0.000380031779661017,0.00022602856261073613,0.002948116511106491,30.655601024627686
65,0.011952388784848153,0.007207185800070875,0.044233721224591134,0.005680992210376114,0.0018458399306570073,0.004024300380260684,0.31834838343897226,0.022409504279494286,0.86,0.9,0.8,0.0004998675847457626,0.00021823649018188007,0.001802444108761847,30.684951305389404
70,0.011932191760279239,0.007210368428204674,0.04395359561371151,0.005516859766169304,0.0027277272429570587,0.004062052767258137,0.31889395004894067,0.015889480710029602,0.84,0.96,0.83,0.0005256885593220339,0.00014883321824072482,0.0022302214056253433,30.505789041519165
75,0.01188345934089739,0.0072333862917730585,0.04312807140580844,0.007276165010134511,0.0012231191803672202,0.004013788277516142,0.31830216650531656,0.031188219785690308,0.85,0.87,0.77,0.0004190942796610169,0.0002718144067330286,0.0026047565042972565,30.687259912490845
80,0.011826610878924839,0.0071804328725556844,0.04299405311758164,0.007031229487502983,0.0027140714730593276,0.00401555827294942,0.3182357309847166,0.0324980765581131,0.84,0.87,0.75,0.0005621027542372882,0.00026592067210003736,0.001788433059118688,30.82671332359314
85,0.01185586378152948,0.007184883844456635,0.043421498287352735,0.005697913479764516,0.00126175183590981,0.004004889379139058,0.3182741610180046,0.016519181430339813,0.86,0.86,0.74,0.00042968750000000006,0.00028899833123432475,0.002285039983689785,30.723641872406006
90,0.011832558481837624,0.007185007263615262,0.04318914802919607,0.005709435653212729,0.0013448828287326365,0.00400177163304761,0.31821511708487404,0.016474077478051186,0.85,0.89,0.76,0.0004654396186440678,0.00024871704721590504,0.001650180434808135,30.66512656211853
95,0.011820259955711662,0.007176739032147452,0.04315978913626168,0.00539856383435391,0.001322003829752153,0.004001653864397667,0.3181562538613468,0.01541412528604269,0.84,0.84,0.73,0.00043961864406779667,0.0002764255861984566,0.0018520960584282875,30.89080309867859
100,0.011838636648608371,0.007188457601878326,0.043226208780542945,0.005378181349010095,0.0012453809684753292,0.004002807578654028,0.3181985182293074,0.013976563699543476,0.84,0.84,0.73,0.0004343220338983051,0.00027661906147841364,0.0018170956755056977,30.758289337158203
